url,name,rrp,current_price,discount
https://www.amazon.co.uk/Logitech-Wireless-Lightweight-Programmable-compatible/dp/B07G5XJLWK/ref=sr_1_8?keywords=logitech+mouse&qid=1687130813&sprefix=logitech%2Caps%2C72&sr=8-8,"Logitech G PRO Wireless Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Ultra Lightweight, 4-8 Programmable Buttons, Long Battery Life, POWERPLAY-compatible, UK Packaging, PC/Mac - Black",69.99,69.99,0.0
https://www.amazon.co.uk/Sennheiser-Wireless-Headphones-active-cancellation-Black/dp/B083T4XJDY/ref=sr_1_6?keywords=headphones+sennheiser&qid=1687130881&sprefix=headphones+se%2Caps%2C76&sr=8-6,"Sennheiser HD 450BT Wireless Headphones, with active noise cancellation, Black",159.0,119.0,0.25
https://www.amazon.co.uk/Corsair-CH-9115020-UK-Key-Less-Mechanical-Keyboard/dp/B06XQ5G9ZZ/ref=sr_1_22?keywords=keyboard+mechanical&qid=1687130924&sprefix=keyboard+mech%2Caps%2C74&sr=8-22,Corsair Gaming CH-9115020-UK K63 Cherry MX Red Backlit 10 Key-Less UK Mechanical Gaming Keyboard - Black,84.99,69.94,0.18
